corpus_row,google_volume_id,title,subtitle,author,isbn_13,canonical_isbn_13,description,publisher,publication_year,categories,language,cover_url,quality_tier,relevance_tier,keep_source,duplicate_group,collapsed_count
420,Rk13rgEACAAJ,The Intelligent Investor,The Definitive Book on Value Investing,Benjamin Graham,9780062312686,9780062312686,,,2013,Investments,en,https://books.google.com/books/content?id=Rk13rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,411,1
421,TnrrDwAAQBAJ,The Psychology of Money,"Timeless lessons on wealth, greed, and happiness",Morgan Housel,9780857197696,9780857197696,"The Sunday Times Number One Bestseller. Over 10 million copies sold around the world. The original book from Morgan Housel, the New York Times and Sunday Times bestselling author of Same As Ever and The Art of Spending Money. As featured on the Dr Chatterjee podcast Feel Better, Live More and the Diary of a CEO podcast with Steven Bartlett. Doing well with money isn't necessarily about what you know. It's about how you behave. And behavior is hard to teach, even to really smart people. Money – investing, personal finance, and business decisions – is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don't make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life's most important topics.",Harriman House Limited,2020,Business & Economics,en,https://books.google.com/books/content?id=TnrrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,pin,412,1
422,8SL6VVMa9AcC,Trading in the Zone,"Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,9781440625411,9781440625411,"Douglas uncovers the underlying reasons for lack of consistency and helps traders overcome the ingrained mental habits that cost them money. He takes on the myths of the market and exposes them one by one teaching traders to look beyond random outcomes, to understand the true realities of risk, and to be comfortable with the ""probabilities"" of market movement that governs all market speculation.",Penguin,2001,Business & Economics,en,https://books.google.com/books/content?id=8SL6VVMa9AcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,413,1
423,Z9GNzwEACAAJ,Big Debt Crises,,Ray Dalio,9780578565651,9780578565651,"""Ray Dalio's excellent study provides an innovative way of thinking about debt crises and the policy response."" - Ben Bernanke ​""Ray Dalio's book is must reading for anyone who aspires to prevent or manage through the next financial crisis."" - Larry Summers ""A terrific piece of work from one of the world's top investors who has devoted his life to understanding markets and demonstrated that understanding by navigating the 2008 financial crisis well."" - Hank Paulson ""An outstanding history of financial crises, including the devastating crisis of 2008, with a very valuable framework for understanding why the engine of the financial system occasionally breaks down, and what types of policy actions by central banks and governments are necessary to resolve systemic financial crises. This should serve as a play book for future policy makers, with practical guidance about what to do and what not to do."" - Tim Geithner ""Dalio's approach, as in his investment management, is to synthesize information, and to convert a sprawling and multi-faceted issue into a clear-cut process of cause and effect. Critically, he simplifies without over-simplifying."" - Financial Times For the 10th anniversary of the 2008 financial crisis, one of the world's most successful investors, Ray Dalio, shares his unique template for how debt crises work and principles for dealing with them well. This template allowed his firm, Bridgewater Associates, to anticipate events and navigate them well while others struggled badly. As he explained in his #1 New York Times Bestseller, Principles: Life & Work, Dalio believes that most everything happens over and over again through time so that by studying their patterns one can understand the cause-effect relationships behind them and develop principles for dealing with them well. In this 3-part research series, he does that for big debt crises and shares his template in the hopes reducing the chances of big debt crises happening and helping them be better managed in the future. The template comes in three parts:: 1) The Archetypal Big Debt Cycle (which explains the template), 2) 3 Detailed Cases (which examines in depth the 2008 financial crisis, the 1930's Great Depression, and the 1920's inflationary depression of Germany's Weimar Republic), and 3) Compendium of 48 Cases (which is a compendium of charts and brief descriptions of the worst debt crises of the last 100 years). Whether you're an investor, a policy maker, or are simply interested, the unconventional perspective of one of the few people who navigated the crises successfully, Principles for Navigating Big Debt Crises will help you understand the economy and markets in revealing new ways.",,2020,,en,,AUTO_KEEP,,auto_keep_annotation,414,1
424,t-TQCwAAQBAJ,Trading and Exchanges,Market Microstructure for Practitioners,Larry Harris,9780199726547,9780199726547,"This book is about trading, the people who trade securities and contracts, the marketplaces where they trade, and the rules that govern it. Readers will learn about investors, brokers, dealers, arbitrageurs, retail traders, day traders, rogue traders, and gamblers; exchanges, boards of trade, dealer networks, ECNs (electronic communications networks), crossing markets, and pink sheets. Also covered in this text are single price auctions, open outcry auctions, and brokered markets limit orders, market orders, and stop orders. Finally, the author covers the areas of program trades, block trades, and short trades, price priority, time precedence, public order precedence, and display precedence, insider trading, scalping, and bluffing, and investing, speculating, and gambling.",Oxford University Press,2002,Business & Economics,en,https://books.google.com/books/content?id=t-TQCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,415,1
425,5NAZE-RBJoEC,Trade Your Way to Financial Freedom,,Van K. Tharp,9780070647626,9780070647626,"The famed psychologist--featured in the bestselling ""Market Wizards""--reveals his secrets to successful trading. Tharp clearly outlines a program for both individual investors and professionals to construct their own truly personal trading system. 50 illustrations.",McGraw Hill Professional,1999,Business & Economics,en,https://books.google.com/books/content?id=5NAZE-RBJoEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,416,1
426,mna7CdjGdcYC,Come Into My Trading Room,A Complete Guide to Trading,Alexander Elder,9780471273820,9780471273820,"The trading bible for the new millennium In Come Into My Trading Room, noted trader and author Dr. Alexander Elder returns to expand far beyond the three M's (Mind, Method, and Money) of his bestselling Trading for a Living. Shifting focus from technical analysis to the overall management of a trader's money, time, and strategy, Dr. Elder takes readers from the fundamentals to the secrets of being a successful trader--identifying new, little known indicators that can lead to huge profits. Come Into My Trading Room educates the novice and fortifies the professional through expert advice and proven trading methodologies. This comprehensive trading guide provides a complete introduction to the essentials of successful trading; a fresh look at the three M's, including a proven, step-by-step money management strategy; and an in-depth look at organizing your trading time. Come Into My Trading Room reviews the basics of trading stocks, futures, and options as well as crucial psychological tactics for discipline and organization—with the goal of turning anyone into a complete and successful trader. By showing traders how to combine the elements of mind, method, and money, Come Into My Trading Room gives readers the knowledge and insight to enter the market with confidence and exit with profits. Unparalleled depth and a wide range of coverage will keep all levels of traders engaged, informed, and returning to Come Into My Trading Room again and again. Dr. Alexander Elder (New York, NY) is a professional trader, technical analysis expert, and practicing psychiatrist. He is the founder of Financial Trading Inc., providing intensive trading camps to traders all over the world. Elder's first book Trading for a Living (Wiley: 0471592242) and the companion study guide have sold over 160,000 copies.",John Wiley & Sons,2002,Business & Economics,en,https://books.google.com/books/content?id=mna7CdjGdcYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,417,1
427,237PaZVtDjMC,The New Sell and Sell Short,"How To Take Profits, Cut Losses, and Benefit From Price Declines",Alexander Elder,9781118005576,9781118005576,"A detailed look at one of the most underestimated aspects of trading-selling In The New Sell and Sell Short, Second Edition, Dr. Alexander Elder explains how to exit a stock at the right time and how to initiate a short position to profit from a stock that is showing weakness. Often overlooked, selling properly enables a trader to cut losses and maximize profits. Moreover, short selling in a weak market can generate big profits and should be a part of every trader's arsenal of tools. The new edition contains numerous examples of short selling stocks from the 2008-2009 bear market, demonstrating very clearly why traders do themselves a disservice by only focusing on the long side. In addition, the new edition contains an extensive study guide to help readers master the material prior to trading. Elder shares real-world examples that show how to manage your positions by adjusting your exit points as a trade unfolds. Contains new examples and insights from the 2008-2009 market meltdown Includes an extensive study guide with 115 questions and answers and 17 chart studies Discusses the selling process from a variety of angles: technical, fundamental, and psychological Explains how to maximize winnings in a profitable trade and how to minimize losses when a trade doesn't go as planned Offers detailed guidance for traders of stocks, financial futures, commodities, and currencies Explains how to set profit targets and stop-loss orders prior to entering any trade Other bestselling titles by Elder: Trading for a Living, Come Into My Trading Room, and Entries and Exits Understanding where and when to sell is essential to successful trading. The New Sell and Sell Short, Second Edition is the definitive reference to this overlooked, but vitally important, aspect of trading.",John Wiley & Sons,2011,Business & Economics,en,https://books.google.com/books/content?id=237PaZVtDjMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,418,1
428,rSkyvwEACAAJ,Entries & Exits,Visits to Sixteen Trading Rooms,Alexander Elder,,,,,2006,,en,,AUTO_KEEP,,auto_keep_annotation,419,1
429,jbD47VkOHAEC,Evidence-Based Technical Analysis,Applying the Scientific Method and Statistical Inference to Trading Signals,David Aronson,9781118160589,9781118160589,"Evidence-Based Technical Analysis examines how you can apply the scientific method, and recently developed statistical tests, to determine the true effectiveness of technical trading signals. Throughout the book, expert David Aronson provides you with comprehensive coverage of this new methodology, which is specifically designed for evaluating the performance of rules/signals that are discovered by data mining.",John Wiley & Sons,2011,Business & Economics,en,https://books.google.com/books/content?id=jbD47VkOHAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,420,1
430,pSUJAQAAMAAJ,Market Wizards,Interviews with Top Traders,Jack D. Schwager,,,This is one of the best-selling investment titles of all time. A collection of interviews with top traders gives insights into their stories of extraordinary investment success. Learn how these pros converted financial set-backs into greater-than-ever riches.,HarperPerennial,1990,Business & Economics,en,https://books.google.com/books/content?id=pSUJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,421,1
431,3cioifqOLxkC,A Random Walk Down Wall Street,The Time-tested Strategy for Successful Investing,Burton Gordon Malkiel,9780393325355,9780393325355,This vastly informative guide shows how to navigate the turbulence on Wall Street and beat the pros at their own game.,W. W. Norton & Company,2003,Business & Economics,en,https://books.google.com/books/content?id=3cioifqOLxkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,422,1
432,hMY2DwAAQBAJ,The Little Book of Common Sense Investing,The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,9781119404521,9781119404521,"The best-selling investing ""bible"" offers new information, new insights, and new perspectives The Little Book of Common Sense Investing is the classic guide to getting smart about the market. Legendary mutual fund pioneer John C. Bogle reveals his key to getting more out of investing: low-cost index funds. Bogle describes the simplest and most effective investment strategy for building wealth over the long term: buy and hold, at very low cost, a mutual fund that tracks a broad stock market Index such as the S&P 500. While the stock market has tumbled and then soared since the first edition of Little Book of Common Sense was published in April 2007, Bogle's investment principles have endured and served investors well. This tenth anniversary edition includes updated data and new information but maintains the same long-term perspective as in its predecessor. Bogle has also added two new chapters designed to provide further guidance to investors: one on asset allocation, the other on retirement investing. A portfolio focused on index funds is the only investment that effectively guarantees your fair share of stock market returns. This strategy is favored by Warren Buffett, who said this about Bogle: ""If a statue is ever erected to honor the person who has done the most for American investors, the hands-down choice should be Jack Bogle. For decades, Jack has urged investors to invest in ultra-low-cost index funds. . . . Today, however, he has the satisfaction of knowing that he helped millions of investors realize far better returns on their savings than they otherwise would have earned. He is a hero to them and to me."" Bogle shows you how to make index investing work for you and help you achieve your financial goals, and finds support from some of the world's best financial minds: not only Warren Buffett, but Benjamin Graham, Paul Samuelson, Burton Malkiel, Yale’s David Swensen, Cliff Asness of AQR, and many others. This new edition of The Little Book of Common Sense Investing offers you the same solid strategy as its predecessor for building your financial future. Build a broadly diversified, low-cost portfolio without the risks of individual stocks, manager selection, or sector rotation. Forget the fads and marketing hype, and focus on what works in the real world. Understand that stock returns are generated by three sources (dividend yield, earnings growth, and change in market valuation) in order to establish rational expectations for stock returns over the coming decade. Recognize that in the long run, business reality trumps market expectations. Learn how to harness the magic of compounding returns while avoiding the tyranny of compounding costs. While index investing allows you to sit back and let the market do the work for you, too many investors trade frantically, turning a winner's game into a loser's game. The Little Book of Common Sense Investing is a solid guidebook to your financial future.",John Wiley & Sons,2017,Business & Economics,en,https://books.google.com/books/content?id=hMY2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,pin,423,1
433,NYh93U24mesC,The Little Book That Builds Wealth,,Pat Dorsey,9781459607156,9781459607156,A practical handbook explains how to build an economic moat--or competitive advantage--that can be applied to any investment situation to find companies that possess good growth fundamentals as well as an attractive stock price.,ReadHowYouWant.com,2010,Business & Economics,en,https://books.google.com/books/content?id=NYh93U24mesC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,424,1
434,cb6_SJN09qoC,The Four Pillars of Investing,,William J. Bernstein,9780071423472,9780071423472,"Sound, sensible advice from a hero to frustrated investors everywhere William Bernstein's The Four Pillars of Investing gives investors the tools they need to construct top-returning portfolios--without the help of a financial adviser. In a relaxed, nonthreatening style, Dr. Bernstein provides a distinctive blend of market history, investing theory, and behavioral finance, one designed to help every investor become more self-sufficient and make better-informed investment decisions. The 4 Pillars of Investing explains how any investor can build a solid foundation for investing by focusing on four essential lessons, each building upon the other. Containing all of the tools needed to achieve investing success, without the help of a financial advisor, it presents: Practical investing advice based on fascinating history lessons from the market Exercises to determine risk tolerance as an investor An easy-to-understand explanation of risk and reward in the capital markets",McGraw Hill Professional,2002,Business & Economics,en,https://books.google.com/books/content?id=cb6_SJN09qoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,425,1
435,bju_QwAACAAJ,Security Analysis,Principles and Technique,"Benjamin Graham, David Le Fevre Dodd",9780071623551,9780071623551,,,2009,Investment analysis,en,,AUTO_KEEP,,auto_keep_annotation,426,1
436,1QpjAAAACAAJ,Margin of Safety,Risk-averse Value Investing Strategies for the Thoughtful Investor,Seth A. Klarman,9780887305108,9780887305108,"Tells how to avoid investment fads, explains the basic concepts of value-investment philosophy, and offers advice on portfolio management",Harpercollins,1991,Business & Economics,en,https://books.google.com/books/content?id=1QpjAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,427,1
437,njy3PQAACAAJ,The Essays of Warren Buffett,Lessons for Investors and Managers,Warren Buffett,9780470824412,9780470824412,This collection of Buffett essays has been widely acknowledged as the most authoritative book on Buffett's investment philosophy. According to Buffett himself: Larry has done a great job at collating our philosophy. His book is far better than any of the biographies written to date.,John Wiley & Sons,2009,Accounting,en,https://books.google.com/books/content?id=njy3PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,428,1
438,AKwWNQjLQQ4C,Common Stocks and Uncommon Profits,,Philip A. Fisher,9780471246091,9780471246091,Not Obtainable,John Wiley & Sons,1997,Business & Economics,en,https://books.google.com/books/content?id=AKwWNQjLQQ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,429,1
439,TYOdIrFJ2SkC,One Up On Wall Street,How To Use What You Already Know To Make Money In The Market,Peter Lynch,9781439126158,9781439126158,"More than one million copies have been sold of this seminal book on investing in which legendary mutual-fund manager Peter Lynch explains the advantages that average investors have over professionals and how they can use these advantages to achieve financial success. America’s most successful money manager tells how average investors can beat the pros by using what they know. According to Lynch, investment opportunities are everywhere. From the supermarket to the workplace, we encounter products and services all day long. By paying attention to the best ones, we can find companies in which to invest before the professional analysts discover them. When investors get in early, they can find the “tenbaggers,” the stocks that appreciate tenfold from the initial investment. A few tenbaggers will turn an average stock portfolio into a star performer. Lynch offers easy-to-follow advice for sorting out the long shots from the no-shots by reviewing a company’s financial statements and knowing which numbers really count. He offers guidelines for investing in cyclical, turnaround, and fast-growing companies. As long as you invest for the long term, Lynch says, your portfolio can reward you. This timeless advice has made One Up on Wall Street a #1 bestseller and a classic book of investment know-how.",Simon and Schuster,2012,Business & Economics,en,https://books.google.com/books/content?id=TYOdIrFJ2SkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,430,1
440,2n0VImAHVv0C,The Most Important Thing,Uncommon Sense for the Thoughtful Investor,Howard Marks,9780231527095,9780231527095,"""This is that rarity, a useful book.""--Warren Buffett Howard Marks, the chairman and cofounder of Oaktree Capital Management, is renowned for his insightful assessments of market opportunity and risk. After four decades spent ascending to the top of the investment management profession, he is today sought out by the world's leading value investors, and his client memos brim with insightful commentary and a time-tested, fundamental philosophy. Now for the first time, all readers can benefit from Marks's wisdom, concentrated into a single volume that speaks to both the amateur and seasoned investor. Informed by a lifetime of experience and study, The Most Important Thing explains the keys to successful investment and the pitfalls that can destroy capital or ruin a career. Utilizing passages from his memos to illustrate his ideas, Marks teaches by example, detailing the development of an investment philosophy that fully acknowledges the complexities of investing and the perils of the financial world. Brilliantly applying insight to today's volatile markets, Marks offers a volume that is part memoir, part creed, with a number of broad takeaways. Marks expounds on such concepts as ""second-level thinking,"" the price/value relationship, patient opportunism, and defensive investing. Frankly and honestly assessing his own decisions--and occasional missteps--he provides valuable lessons for critical thinking, risk assessment, and investment strategy. Encouraging investors to be ""contrarian,"" Marks wisely judges market cycles and achieves returns through aggressive yet measured action. Which element is the most essential? Successful investing requires thoughtful attention to many separate aspects, and each of Marks's subjects proves to be the most important thing.",Columbia University Press,2011,Business & Economics,en,https://books.google.com/books/content?id=2n0VImAHVv0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,431,1
441,66xTDwAAQBAJ,You Can Be a Stock Market Genius,Uncover the Secret Hiding Places of Stock Market Profits,Joel Greenblatt,9780684840079,9780684840079,"Fund manager Joel Greenblatt has been beating the Dow (with returns of 50 percent a year) for more than a decade. And now, in this highly accessible guide, he's going to show you how to do it, too. You're about to discover investment opportunities that portfolio managers, business-school professors, and top investment experts regularly miss -- uncharted areas where the individual investor has a huge advantage over the Wall Street wizards. Here is your personal treasure map to special situations in which big profits are possible, including: * Spin-offs * Restructurings * Merger Securities * Mergers * Rights Offerings * Recapitalizations * Bankruptcies * Risk Arbitrage This is a practical and easy-to-use investment reference, filled with case studies, important background information, and all the tools you'll need. All it takes is a little extra time and effort -- and you can be a stock market genius.",Simon and Schuster,1999,Business & Economics,en,https://books.google.com/books/content?id=66xTDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,432,1
442,dkeyU_3FhsMC,The Little Book That Beats the Market,,Joel Greenblatt,9780471773627,9780471773627,"Two years in MBA school won't teach you how to double the market's return. Two hours with The Little Book That Beats the Market will. In The Little Book, Joel Greenblatt, Founder and Managing Partner at Gotham Capital (with average annualized returns of 40% for over 20 years), does more than simply set out the basic principles for successful stock market investing. He provides a ""magic formula"" that is easy to use and makes buying good companies at bargain prices automatic. Though the formula has been extensively tested and is a breakthrough in the academic and professional world, Greenblatt explains it using 6th grade math, plain language and humor. You'll learn how to use this low risk method to beat the market and professional managers by a wide margin. You'll also learn how to view the stock market, why success eludes almost all individual and professional investors, and why the formula will continue to work even after everyone ""knows"" it.",Wiley,2006,Business & Economics,en,https://books.google.com/books/content?id=dkeyU_3FhsMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,433,1
443,2unAEAAAQBAJ,Poor Charlie’s Almanack,The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,9781953953247,9781953953247,"From the legendary vice-chairman of Berkshire Hathaway, lessons in investment strategy, philanthropy, and living a rational and ethical life. “Spend each day trying to be a little wiser than you were when you woke up,” Charles T. Munger advises in Poor Charlie’s Almanack. Originally published in 2005, this compendium of eleven talks delivered by the legendary Berkshire Hathaway vice-chairman between 1986 and 2007 has become a touchstone for a generation of investors and entrepreneurs seeking to absorb the enduring wit and wisdom of one of the great minds of the 20th and 21st centuries. Edited by Peter D. Kaufman, chairman and CEO of Glenair and longtime friend of Charlie Munger—whom he calls “this generation’s answer to Benjamin Franklin”—this abridged Stripe Press edition of Poor Charlie’s Almanack features a brand-new foreword by Stripe cofounder John Collison. Poor Charlie’s Almanack draws on Munger’s encyclopedic knowledge of business, finance, history, philosophy, physics, and ethics—and more besides—to introduce the latticework of mental models that underpin his rational and rigorous approach to life, learning, and decision-making. Delivered with Munger’s characteristic sharp wit and rhetorical flair, it is an essential volume for any reader seeking to go to bed a little wiser than when they woke up.",Stripe Press,2023,Business & Economics,en,https://books.google.com/books/content?id=2unAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,434,1
444,XCL9bkrOrpcC,Equity Asset Valuation,,"Jerald E. Pinto, Elaine Henry, Thomas R. Robinson, John D. Stowe",9780470579657,9780470579657,"A comprehensive look at the equity valuation process With the Second Edition of Equity Asset Valuation, the distinguished team of Jerald Pinto, Elaine Henry, Thomas Robinson, and John Stowe, fully update information associated with this important discipline. Blending theory with practice, they detail the contemporary techniques used to determine the intrinsic value of an equity security, and show you how to successfully apply these techniques in both foreign and domestic markets. Unlike alternative works in this field, the Second Edition of Equity Asset Valuation clearly integrates finance and accounting concepts into the discussion-providing the evenness of subject matter treatment, consistency of notation, and continuity of topic coverage that is so critical to the learning process. Addresses essential issues in this arena, including the equity valuation process, discounted dividend valuation, free cash flow valuation, and residual income valuation Each author brings his own unique experiences and perspectives to the equity analysis process Distills the knowledge, skills, and abilities you need to succeed in today's fast-paced financial environment Companion Workbook also available Valuable for classroom study, self-study, and general reference, this book contains clear, example-driven coverage of many of today's most important valuation issues.",John Wiley & Sons,2010,Business & Economics,en,https://books.google.com/books/content?id=XCL9bkrOrpcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,435,1
445,sLQhYjndgwEC,Investment Valuation,Tools and Techniques for Determining the Value of Any Asset,Aswath Damodaran,9780471414902,9780471414902,"Valuation is a topic that is extensively covered in business degree programs throughout the country. Damodaran's revisions to ""Investment Valuation"" are an addition to the needs of these programs.",John Wiley & Sons,2002,Business & Economics,en,https://books.google.com/books/content?id=sLQhYjndgwEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,436,1
446,3MPnCgAAQBAJ,Quality Investing,Owning the best companies for the long term,"Torkell T. Eide, Patrick Hargreaves, Lawrence A. Cunningham",9780857195012,9780857195012,"Quality. We all make judgments about it every day. Yet articulating a clear definition of quality in an investing context is challenging. This book addresses the challenge, and distills years of practical investing experience into a definitive account of this under-explored investment philosophy. Finance theory has it that abnormal outcomes do not persist, that exceptional performance will soon enough become average performance. Quality investing involves seeking companies with the right attributes to overcome these forces of mean reversion and, crucially, owning these outstanding companies for the long term. This book pinpoints and explains the characteristics that increase the probability of a company prospering over time - as well as those that hinder such chances. Throughout, a series of fascinating real-life case studies illustrate the traits that signify quality, as well as some that flatter to deceive. The authors' firm, AKO Capital, has a strong track record of finding and investing in quality companies - helping it deliver a compound annual growth rate more than double that of the market since inception. <i>Quality Investing</i> sheds light on the investment philosophy, processes and tough lessons that have contributed to this consistent outperformance.",Harriman House Limited,2016,Business & Economics,en,https://books.google.com/books/content?id=3MPnCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,437,1
447,tH4MwgEACAAJ,Financial Shenanigans,"How to Detect Accounting Gimmicks and Fraud in Financial Reports, Fourth Edition","Howard M. Schilit, Yoni Engelhart, Jeremy Perler",,,"Shining a light on the most shocking frauds and financial reporting offenders, this unparalleled guide gives investors the tools they need to spot deceptive financial reporting in the global markets. --",,2018,Fraud,en,,AUTO_KEEP,,auto_keep_annotation,438,1
448,vGk00l8PqeMC,Common Sense on Mutual Funds,New Imperatives for the Intelligent Investor,John C. Bogle,9780471392286,9780471392286,"""A critical look at the mutual fund industry and how we invest, and ... a compelling course for change.""--Jacket.",John Wiley & Sons,2000,Business & Economics,en,https://books.google.com/books/content?id=vGk00l8PqeMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,439,1
449,vpsrAQAAMAAJ,All About Asset Allocation,The Easy Way to Get Started,Richard Ferri,,,"All About Asset Allocation goes beyond sound-bite financial columns and TV programs to explain asset allocation in terms that anyone can under- stand. Using a concise style, it features straight- forward explanations of asset allocation, a review of the asset allocation process, and guidelines for implementing strategies and programs.",McGraw-Hill,2006,Business & Economics,en,https://books.google.com/books/content?id=vpsrAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,440,1
450,P7TCSLpJ7AYC,Asset Allocation: Balancing Financial Risk,,Roger C. Gibson,9780071378017,9780071378017,"Financial experts agree: Asset allocation is the key strategies for maintaining a consistent yet superior rate of investment return. Now, Roger Gibson's Asset Allocation - the bestselling reference book on this popular subject for a decade has been updated to keep pace with the latest developments and findings. This Third Edition provides step-by-step strategies for implementing asset allocation in a high return/low risk portfolio, educating financial planning clients on the solid logic behind asset allocation, and more.",McGraw Hill Professional,2000,Business & Economics,en,https://books.google.com/books/content?id=P7TCSLpJ7AYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,441,1
451,lujLawVLS3YC,Fixed Income Analysis,,Frank J. Fabozzi,9780470107843,9780470107843,"In the Second Edition of Fixed Income Analysis, financial expert Frank Fabozzi and a team of knowledgeable contributors provide complete coverage of the most important issues in fixed income analysis. Now, in Fixed Income Analysis Workbook, Second Edition, Fabozzi offers you a wealth of practical information and exercises that will solidify your understanding of the tools and techniques associated with this discipline. This comprehensive study guide--which parallels the main book chapter by chapter--contains challenging problems and a complete set of solutions as well as concise learning outcome statements and summary overviews. If you want to make the most of your time in the fixed income marketplace, the lessons within this workbook can show you how. Topics reviewed include: The risks associated with investing in fixed income securities The fundamentals of valuation and interest rate risk The features of structured products--such as mortgage-backed securities and asset-backed securities The principles of credit analysis The valuation of fixed income securities with embedded options",John Wiley & Sons,2007,Business & Economics,en,https://books.google.com/books/content?id=lujLawVLS3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,442,1
452,G17OAwAAQBAJ,The Bogleheads' Guide to Investing,,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",9781118922361,9781118922361,"The irreverent guide to investing, Boglehead style The Boglehead's Guide to Investing is a DIY handbook that espouses the sage investment wisdom of John C. Bogle. This witty and wonderful book offers contrarian advice that provides the first step on the road to investment success, illustrating how relying on typical ""common sense"" promoted by Wall Street is destined to leave you poorer. This updated edition includes new information on backdoor Roth IRAs and ETFs as mainstream buy and hold investments, estate taxes and gifting, plus changes to the laws regarding Traditional and Roth IRAs, and 401k and 403b retirement plans. With warnings and principles both precisely accurate and grandly counterintuitive, the Boglehead authors show how beating the market is a zero-sum game. Investing can be simple, but it's certainly not simplistic. Over the course of twenty years, the followers of John C. Bogle have evolved from a loose association of investors to a major force with the largest and most active non-commercial financial forum on the Internet. The Boglehead's Guide to Investing brings that communication to you with comprehensive guidance to the investment prowess on display at Bogleheads.org. You'll learn how to craft your own investment strategy using the Bogle-proven methods that have worked for thousands of investors, and how to: Choose a sound financial lifestyle and diversify your portfolio Start early, invest regularly, and know what you're buying Preserve your buying power, keeping costs and taxes low Throw out the ""good"" advice promoted by Wall Street that leads to investment failure Financial markets are essentially closed systems in which one's gain garners another's loss. Investors looking for a roadmap to successfully navigating these choppy waters long-term will find expert guidance, sound advice, and a little irreverent humor in The Boglehead's Guide to Investing.",John Wiley & Sons,2014,Business & Economics,en,https://books.google.com/books/content?id=G17OAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AUTO_KEEP,,auto_keep_annotation,443,1
